,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,92,100,100,92.0,92.0,True,True
2019_2,56,90,90,62.22222222222222,62.22222222222222,True,True
2019_3,112,140,140,80.0,80.0,True,True
2019_4,8,20,20,40.0,40.0,True,True
2020_1,90,100,100,90.0,90.0,True,True
2020_2,64,90,90,71.11111111111111,71.11111111111111,True,True
2020_3,115,140,140,82.14285714285714,82.14285714285714,True,True
2020_4,11,20,20,55.00000000000001,55.00000000000001,True,True
2021_1,82,100,100,82.0,82.0,True,True
2021_2,52,90,90,57.77777777777777,57.77777777777777,True,True
2021_3,112,140,140,80.0,80.0,True,True
2021_4,9,20,20,45.0,45.0,True,True
2022_1,86,100,100,86.0,86.0,True,True
2022_2,58,90,90,64.44444444444444,64.44444444444444,True,True
2022_3,98,140,140,70.0,70.0,True,True
2022_4,14,20,20,70.0,70.0,True,True
2023_1,92,100,100,92.0,92.0,True,True
2023_2,57,90,90,63.33333333333333,63.33333333333333,True,True
2023_3,110,140,140,78.57142857142857,78.57142857142857,True,True
2023_4,13,20,20,65.0,65.0,True,True
2024_1,92,100,100,92.0,92.0,True,True
2024_2,51,90,90,56.666666666666664,56.666666666666664,True,True
2024_3,105,140,140,75.0,75.0,True,True
2024_4,9,20,20,45.0,45.0,True,True
